,label,pf_label,statement,subject,speaker,job,state,party,context
0,False,FALSE,The Annies List political group supports third-trimester abortions on demand.,abortion,dwayne-bohac,State representative,Texas,republican,a mailer
1,True,TRUE,The Chicago Bears have had more starting quarterbacks in the last 10 years than the total number of tenured (UW) faculty fired during the last two decades.,education,robin-vos,Wisconsin Assembly speaker,Wisconsin,republican,a an online opinion-piece
2,True,TRUE,McCain opposed a requirement that the government buy American-made motorcycles. And he said all buy-American provisions were quote 'disgraceful.' ,federal-budget,barack-obama,President,Illinois,democrat,a radio ad
3,True,TRUE,Paul Ryan is still endorsing Trump.,"candidates-biography,elections,campaign-advertising",hillary-clinton,Presidential candidate,New York,democrat,a tweet
4,True,TRUE,We have a federal government that thinks they have the authority to regulate our toilet seats.,"consumer-safety,corrections-and-updates,government-regulation,market-regulation,states,supreme-court,workers",ted-cruz,Senator,Texas,republican,a speech at CPAC
5,True,TRUE,Austin is a city that has basically doubled in size every 25 years or so since it was founded.,"city-government,population",lee-leffingwell,Austin mayor,Texas,democrat,"his ""State of the City"" address"
6,True,TRUE,"The nuclear test conducted in our nation this time is the Earth's 2,054th nuclear test. The five permanent members of the U.N. Security Council have conducted 99.99 percent of the total nuclear tests.",military,north-korea,,,none,a released statement
7,False,pants-fire,"In the case of a catastrophic event, the Atlanta-area offices of the Centers for Disease Control and Prevention will self-destruct.","health-care,pop-culture",walking-dead,,,none,the TV show's season finale
8,True,TRUE,"Under President George W. Bush, we added $4.9 trillion to the debt. Under President Obama weve added $6.5 trillion to the debt.",debt,kelly-ayotte,U.S. Senator,New Hampshire,republican,"a town hall meeting in Hudson, N.H."
9,False,pants-fire,"Rep. David Cicilline is responsible for the federal loan guarantee to Solyndra, the failed solar company","energy,stimulus",national-republican-congressional-committee,,,republican,a news release
10,False,pants-fire,Ohio budget item later signed into law by Gov. John Kasich requires women seeking an abortion to undergo a mandatory vaginal probe.,"abortion,pundits,women",rachel-maddow,MSNBC host,,none,"On ÛÏThe Rachel Maddow Show,Û broadcast on MSNBC"
11,False,pants-fire,"Obamacare will provide insurance to all non-U.S. residents, even if they are here illegally.","health-care,immigration",chain-email,,,none,a long-running chain email
12,False,pants-fire,It was under Barack Obama and Hillary Clinton that changed the rules of engagement that probably cost (Capt. Humayun Khans) life.,"iraq,military",katrina-pierson,,,republican,an interview on CNN.
13,True,TRUE,Hillary Clinton in 2005 co-sponsored legislation that would jail flag burners.,patriotism,blog-posting,,,none,Townhall.com 
14,True,TRUE,"We created 800,000 new jobs, we cut the unemployment rate almost in half and today New York State has more private sector jobs than it has ever had in its history",jobs,andrew-cuomo,Governor,New York,democrat,"a conversation with reporters in Victor, NY."
15,True,TRUE,"On military recruiters at Harvard, Elena Kagan ""took a position and the Supreme Court ruled unanimously that she was wrong.""","education,gays-and-lesbians,kagan-nomination,military,supreme-court",john-barrasso,Senator,Wyoming,republican,an interview on Fox News
16,False,pants-fire,Transgender individuals in the U.S. have a 1-in-12 chance of being murdered.,"corrections-and-updates,crime,criminal-justice,sexuality",garnet-coleman,"president, ceo of Apartments for America, Inc.",Texas,democrat,a committee hearing
17,True,TRUE,"At Bain Capital, we helped start an early childhood learning company called Bright Horizons that First Lady Michelle Obama rightly praised.","candidates-biography,job-accomplishments",mitt-romney,Former governor,Massachusetts,republican,remarks at the Republican National Convention in Tampa
18,True,TRUE,"If you take the population growth here in Virginia, we are net zero on job creation since (Bob McDonnell) became governor.",jobs,terry-mcauliffe,Governor,Virginia,democrat,a speech.
19,True,TRUE,"During the recession, the consumer in his native perversity has begun to save. The savings rate is now 6.2 percent.","economy,abc-news-week",george-will,Columnist,Maryland,columnist,"a roundtable discussion on ABC's ""This Week"""
20,True,TRUE,Scott Brown co-sponsored legislation to let employers deny women coverage for birth control.,"health-care,legal-issues,women",jeanne-shaheen,Senator,New Hampshire,democrat,a news release
21,True,TRUE,U.S. Rep. Steve Southerland voted to keep the shutdown going.,federal-budget,gwen-graham,,Florida,democrat,a campaign commercial
22,True,TRUE,I belong to the AFL-CIO.,"candidates-biography,labor",rick-perry,Governor,Texas,republican,Texas Public Policy Foundation policy orientation
23,True,TRUE,Did you know US population growth is at its lowest since the Great Depression?,"immigration,population",robert-sarvis,"lawyer, businessman",Virginia,libertarian,a tweet.
24,True,TRUE,"Since 1968, more Americans have died from gunfire than died in all the wars of this countrys history.",guns,mark-shields,Columnist and commentator,"Washington, D.C.",none,the PBS NewsHour
25,False,pants-fire,"The Atlanta streetcar is expected to create 930 jobs during construction, totaling more than 5,600 jobs over the next 20 years.",transportation,federal-transit-administration,,,none,a press release
26,True,TRUE,Sen. Obama has always had a 100 percent prochoice rating.,abortion,barack-obama,President,Illinois,democrat,an e-mail message sent to voters before Super Tuesday.
27,True,TRUE,The (federal) debt is growing by more than $4 billion a day.,"deficit,economy,federal-budget",rick-perry,Governor,Texas,republican,"in ""Fed Up! Our Fight to Save America from Washington"""
28,True,TRUE,The economy is creating jobs at the fastest pace since 1999.,"economy,jobs",barack-obama,President,Illinois,democrat,the State of the Union address
29,False,pants-fire,Say Oregon Reps. Peter DeFazio and Earl Blumenauer are socialists who are openly serving in the U.S. Congress.,candidates-biography,blog-posting,,,none,web pages
30,False,pants-fire,"Rudy Giuliani is ""probably the most underqualified man since George Bush to seek the presidency.""",job-accomplishments,joe-biden,U.S. senator,Delaware,democrat,Philadelphia
31,True,TRUE,88 Texas constables have died in the line of duty.,"crime,criminal-justice,history,public-safety,public-service",bruce-elfant,"Constable, Travis County, Precinct 5",Texas,democrat,a press statement.
32,True,TRUE,"As Florida's CFO, I shut down Krakow's scam and refunded more than $1.2 million to Josephine and other victims of this con man.",job-accomplishments,alex-sink,,Florida,democrat,a fundraising e-mail to supporters
33,False,pants-fire,Barack Hussein Obama will ... force courts to accept Islamic Sharia law in domestic disputes.,"islam,message-machine-2012",government-not-god-pac,,,none,a newspaper ad
34,True,TRUE,The U.S. Supreme Court found that Social Security is not guaranteed.,social-security,david-jolly,,Florida,republican,a Congressional campaign debate
35,True,TRUE,Oregonians have an amazing no-cost way to fight abortion with free political donations,"abortion,campaign-finance",oregon-right-life-pac,politican action committee,Oregon,none,a newspaper ad
36,False,pants-fire,"The president said hes going to bring in 250,000 (Syrian and Iraqi) refugees into this country.","foreign-policy,immigration,terrorism",sean-hannity,Radio/TV host,,none,"a segment of Fox News' ""Hannity"""
37,True,TRUE,"Hillary Clinton has taken over $800,000 from lobbyists.",ethics,barack-obama,President,Illinois,democrat,an online ad.
38,False,pants-fire,Michigan and Massachusetts raised their bottle deposit and could no longer afford the program because the redemptions were so high there was no profit in there.,environment,jeff-kruse,state senator,Oregon,republican,on the Oregon Senate floor
39,True,TRUE,"Whether you like to admit it or not, half our general revenue goes to education.","education,state-budget",mike-haridopolos,Florida Senate President,Florida,republican,comments to reporters.
40,False,pants-fire,"The presidents health care proposals will cause most Americans to have their premiums increased, not decreased, and hundreds of millions of people lose their current insurance coverage.","health-care,pundits",nancy-pfotenhauer,political strategist,,republican,an interview on CNN
41,True,TRUE,There are already more American jobs in the solar industry than in coal mining.,"climate-change,energy,environment,jobs",sheldon-whitehouse,U.S. Senator,Rhode Island,democrat,a newspaper commentary
42,True,TRUE,Webster sponsored a bill to create a form of marriage that would trap women in abusive relationships.,"marriage,message-machine,women",alan-grayson,U.S. House of Representatives,Florida,democrat,a TV ad.
43,True,TRUE,Judges get better benefits at a lower cost than everybody else in the state.,pensions,chris-christie,Governor of New Jersey,New Jersey,republican,a news conference
44,True,TRUE,There are a lot of casinos across the country that have gone bankrupt.,"bankruptcy,economy,gambling,state-budget,state-finances,states",robert-jacquard,State representative,Rhode Island,democrat,a speech
45,True,TRUE,Small businesses create 70 percent of the jobs in America.,"economy,jobs,small-business",eric-cantor,House Majority Leader,Virginia,republican,a news release.
46,False,pants-fire,"In a hearing, Rep. Gabrielle Giffords suggested to Gen. David Petraeus that the Army put more emphasis on less environmentally damaging methods, like stabbing or clubbing enemy forces in order to minimize the carbon output.","energy,environment,military",chain-email,,,none,a chain e-mail
47,True,TRUE,"In Texas, the No. 1 name for new male babies many of whom will vote one day is Jose.","elections,immigration,pundits",mike-murphy,political strategist,,republican,a column in Time magazine.
48,False,pants-fire,David Dewhurst has a record of promoting an income tax.,taxes,ted-cruz,Senator,Texas,republican,a handout.
49,True,TRUE,"Rep. Jim Weidner proposed a bill taking away health care for 80,000 of Oregons children.","health-care,taxes",blue-oregon,liberal blog,Oregon,democrat,a website posting
50,True,TRUE,In the 1985 election former Gov. Tom Kean had the largest winning margin for a gubernatorial candidate in Jersey history.,"elections,states",raymond-bateman,,,republican,a column
51,True,TRUE,You ... said that Barack Obama was not ready to be commander in chief.,candidates-biography,sarah-palin,,Alaska,republican,"St. Louis, Mo."
52,True,TRUE,Im the only member of the House of Representatives who raised most of his campaign funds in the last election from small contributions of less than $200.,campaign-finance,alan-grayson,U.S. House of Representatives,Florida,democrat,an interview with Democracy Now
53,True,TRUE,"Unlike the gridlock in Washington, more than 80 percent of the bills we passed during this General Assembly had bipartisan support.","bipartisanship,job-accomplishments",tom-niehaus,President of the Ohio Senate,Ohio,republican,an online video
54,True,TRUE,U.S. taxpayers are being forced to fund Feisal Abdul Raufs trip to the Middle East.,"foreign-policy,religion,terrorism",ileana-ros-lehtinen,U.S. Representative,Florida,republican,a press release.
