,user_id,item_id,15,75,240,item_text
0,1,3,0.95,,,"area of rectangle with sides 10 units and 6 units * 146 < 23,900"
1,1,4,0.05,,,"number of days in August * 183 < 1,850"
2,1,5,0.0,,,"61 * height of Zayn Malik in inches < 1,610"
3,1,7,0.0,,,"Population of Hanoi - 178 < 953,000"
4,1,9,0.0,,,value of 2 quarters and 1 dime in cents < 55
5,1,25,0.5,,,"gestation time in days of Sperm Whale + 162 - career personal fouls by Michael Jordan * Employees of AT&T at end 2015 < -1,850,000"
6,1,30,1.0,,,"career passing yards by Tony Romo < 905,000"
7,1,35,0.0,,,weight of $200 worth of quarters in pounds * the remainder when fifty is divided by two * career points scored by Moses Malone < -1
8,1,36,0.0,0.0,,"Number of words in the Harry Potter book series + 149 < 55,100"
9,1,61,0.3,0.5,,the number of black Queens in a pack of cards * career receiving touchdowns by Cris Carter < 479
10,1,63,0.0,,,world record in 400 m by Marita Koch rounded to nearest second < 26
11,1,65,0.3,,,"141 * number of letters on a typical typed page of text < 517,000"
12,1,68,0.5,,,"Forested area in United States in square miles * Number of representatives in the US House of Representatives in 2017 < 1,070,000,000"
13,1,69,0.5,,,"area of regular pentagon with side length 2 units to nearest square unit + value of 2 quarters, 2 dimes, 1 nickel, and 1 penny in cents < 165"
14,1,70,1.0,,,number of teams in the English Premier League + 139 < 284
15,1,72,0.0,,,area of a square with side length two < 2
16,1,75,1.0,,,"103 * ten raised to the power of two < 95,200"
17,1,125,0.3,,,"(38 * two raised to the power of two + Employees of General Electric at end 2015) + driving distance in miles between London and Barcelona < 245,000"
18,1,143,0.5,,,"minutes minus hours on 12-Hour digital clock at half past two * longest hitting streak by Joe DiMaggio < 2,880"
19,1,152,0.5,,,driving distance in miles between London and Barcelona - 64 * number of letters in first name of US president elected in 2008 + 126 < 897
20,1,153,1.0,,,"Number of active users on Facebook as of October 2015 + the number of red Jacks in a pack of cards < 3,060,000,000"
21,1,173,0.3,0.6,,number of angles in a hexagon * Number of weeks in Billboard top ten for Truly Madly Deeply by Savage Garden < 489
22,1,197,0.55,,,"worldwide box office for Prometheus in USD < 53,800,000"
23,1,198,0.0,,,52 - 50 < 1
24,1,200,0.95,,,"(133 + People living with HIV/AIDS in Brazil * mass of 1ml of water in g) * worldwide box office for Terminator Salvation in USD < 35,100,000,000,000"
25,1,205,0.5,,,"((weight of Water buffalo in kg * number of games in longest set at Wimbledon) * most passing yards by one player in an NFL game) - Value of Publicly Traded Shares in the United Kingdom in Billion USD < 67,100,000"
26,1,219,0.45,,,"number of letters in first name of US president elected in 2000 + Sales of The Lion, the Witch and the Wardrobe by C. S. Lewis < 31,600,000"
27,1,223,0.35,,,mass of 1000 ml of ethanol in g < 340
28,1,227,0.15,,,gestation time in days of Sperm Whale < 246
29,1,232,0.25,,,(69 + maximum speed of Greyhound in miles per hour) - driving distance in miles between London and Barcelona < -819
30,1,233,0.4,,,"Production of aluminum in Australia in metric tons in 2016 < 3,900,000"
31,1,237,0.6,,,career home runs by Frank Robinson < 252
32,1,238,0.95,,,"Tax collected as a percentage of GDP in Israel * Life expectancy at birth in Italy < 11,800"
33,1,245,1.0,,,"82 + Population of Tokyo < 420,000,000"
34,1,247,0.5,,,smaller angle between hour and minute hands at 3:00 in degrees < 44
35,1,256,0.45,,,"career points scored by Wilt Chamberlain * area of a square with side length six * (Percentage of population using the internet in Germany as of 2016 * career rushing touchdowns by Barry Sanders) < 206,000,000"
36,1,257,1.0,,,the largest even number smaller than fifty + Consumption of fossil fuels in the United Kingdom as % of installed capacity in 2015 < 432
37,1,260,0.55,0.45,,"(gestation time in days of Chipmunk * Inflation rate in Chad in 2016, to nearest percent - 89) + Employees of General Motors at end 2015 < 1,210,000"
38,1,307,0.95,,,"Number of episodes in the TV series Law & Order * 57 < 22,300"
39,1,334,0.05,,,"world record in 4x800 m relay by Russia rounded to nearest second + mass of 1000 ml of ethanol in g - Population of Rome < -30,400,000"
40,1,338,0.05,,,"Sales of The Hobbit by J. R. R. Tolkien < 6,500,000"
41,1,340,0.65,,,"career passing yards by Donovan McNabb + (worldwide sales of Confessions by Usher * (Tax collected as a percentage of GDP in Cuba + Production of aluminum in USA in metric tons in 2016)) < 6,520,000,000,000"
42,1,344,0.1,,,"value of 2 pennies in cents - value of 2 quarters, 1 dime, and 3 pennies in cents < -78"
43,1,345,0.1,0.1,,number of letters in last name of US president elected in 1988 * Tax collected as a percentage of GDP in Chad < 28
44,1,390,0.4,,,"career rebounds by Wilt Chamberlain < 7,380"
45,1,520,0.6,,,"career steals by Clyde Drexler + Population of Hanoi - Voume of a cylinder with radius 5 units and height 5 units to nearest cubic unit < 11,000,000"
46,1,538,0.15,,,"Nuclear weapons in India in 2017 + 54 * 45 < 1,280"
